,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,"$123,938 /yr (est.)",4.8,"Retool
4.8","San Francisco, CA",51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
1,Data Scientist,"$120,412 /yr (est.)",4.1,"Bosch Group
4.1","Sunnyvale, CA",10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
2,Data Scientist,"$117,599 /yr (est.)",4.3,"Cisco Systems
4.3","San Jose, CA",10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
3,Data Scientist,"$108,819 /yr (est.)",3.3,"FocusKPI Inc.
3.3","San Bruno, CA",51 to 200 Employees,Company - Private,Advertising & Public Relations,Media & Communication,Less than $1 million (USD),-1
4,Data Scientist,"$122,065 /yr (est.)",5.0,"BICP
5.0","San Francisco, CA",1 to 50 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
5,"Senior Data Scientist, Analytics","$175,000 /yr (est.)",4.2,"Discord
4.2","San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD)
6,Data Scientist,"$127,302 /yr (est.)",3.7,"Upgrade
3.7","San Francisco, CA",201 to 500 Employees,2016,Company - Private,Banking & Lending,Financial Services,Less than $1 million (USD)
7,Data Scientist,"$117,967 /yr (est.)",4.6,"Alldus
4.6","San Francisco, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
8,Data Scientist,"$135,227 /yr (est.)",3.1,"Stitch Fix
3.1","San Francisco, CA",10000+ Employees,2011,Company - Public,Other Retail Stores,Retail & Wholesale,$1 to $5 billion (USD)
9,Senior Data Scientist - Hiring Platform,"$190,000 /yr (est.)",4.4,"Indeed
4.4","San Francisco, CA",10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
10,Data Scientist,"$124,411 /yr (est.)",4.0,"Visa
4.0","San Francisco, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
11,Data Scientist,"$151,378 /yr (est.)",3.3,"Wish
3.3","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
12,Data Scientist,"$118,584 /yr (est.)",4.5,"Cloudbigdata Technologies
4.5","San Francisco, CA",1001 to 5000 Employees,1998,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
13,Data scientist,"$125,381 /yr (est.)",3.8,"Avila Trading
3.8","San Francisco, CA",1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
14,Data Scientist,$67.50 /hr (est.),-1,FIABLE CONSULTING INC,"San Francisco, CA",51 to 200 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
15,"Data Scientist, F&S","$150,017 /yr (est.)",4.2,"Square
4.2","San Francisco, CA",5001 to 10000 Employees,2009,Company - Public,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
16,Associate Data Scientist,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
17,Data Scientist,$85.00 /hr (est.),-1,Zodiac Solution Inc,"Sunnyvale, CA",-1,-1,-1,-1,-1,-1
18,AWS Data Scientist,$70.00 /hr (est.),5.0,"VITA TECH
5.0","Alameda, CA",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
19,"Data Scientist, Analytics & Data","$113,514 /yr (est.)",3.3,"Williams Sonoma
3.3","San Francisco, CA",10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable
20,Data Scientist II,"$105,851 /yr (est.)",4.0,"RELX
4.0","San Jose, CA",10000+ Employees,1880,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
21,ChemBio Data Scientist,"$114,162 /yr (est.)",4.5,"Lawrence Livermore National Laboratory
4.5","Livermore, CA",5001 to 10000 Employees,1952,Government,National Agencies,Government & Public Administration,$1 to $5 billion (USD)
22,Data Scientist - DS 1,"$132,392 /yr (est.)",3.9,"AppZen
3.9","San Jose, CA",51 to 200 Employees,2012,Company - Private,Financial Transaction Processing,Financial Services,$1 to $5 million (USD)
23,Research Data Scientist,"$108,292 /yr (est.)",4.1,"University of California San Francisco
4.1","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $100 million (USD)
24,Data Scientist,"$118,274 /yr (est.)",3.9,"Surya Systems
3.9","San Francisco, CA",1 to 50 Employees,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),-1
25,Data Scientist,"$115,875 /yr (est.)",3.7,"HCL
3.7","San Francisco, CA",5001 to 10000 Employees,1976,Company - Private,Information Technology Support Services,Information Technology,$10+ billion (USD)
26,Senior Data Scientist,"$149,625 /yr (est.)",4.7,"NVIDIA
4.7","Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
27,Data Scientist,"$119,061 /yr (est.)",4.0,"Visa
4.0","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
28,Data Scientist,"$120,131 /yr (est.)",4.4,"Kodiak Robotics
4.4","Mountain View, CA",1 to 50 Employees,2018,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
29,Data Scientist - TikTok Account,"$125,858 /yr (est.)",3.6,"TikTok
3.6","San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
30,"Data Scientist II, Product Analytics","$133,416 /yr (est.)",4.0,"BOLD
4.0","San Francisco, CA",501 to 1000 Employees,2004,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
31,Data Scientist,"$137,618 /yr (est.)",3.6,"Afterpay
3.6","San Francisco, CA",501 to 1000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD)
32,Senior Data Scientist,"$154,276 /yr (est.)",4.4,"Salesforce
4.4","San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
33,Data Scientist,"$126,833 /yr (est.)",4.3,"Grid Dynamics
4.3","San Francisco, CA",1001 to 5000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD)
34,Vitria Data Scientist,"$123,408 /yr (est.)",3.6,"Vitria Technology
3.6","Menlo Park, CA",201 to 500 Employees,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),-1
35,Data Scientist [Remote],$100.00 /hr (est.),4.6,"Braintrust
4.6","San Francisco, CA",Unknown,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
36,Data Scientist,"$112,440 /yr (est.)",3.3,"Fiserv, Inc.
3.3","San Jose, CA",10000+ Employees,1984,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
37,Data Scientist,"$133,158 /yr (est.)",3.0,"Quantapore
3.0","San Francisco, CA",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD)
38,Senior Data Scientist,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
39,"Data Scientist, Creative Cloud Education","$149,820 /yr (est.)",4.4,"Adobe
4.4","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
40,Data Scientist - Analytics,"$118,333 /yr (est.)",5.0,"Hypersonix Inc.
5.0","San Jose, CA",1 to 50 Employees,2019,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
41,"Senior Data Scientist, Analytics & Data","$128,230 /yr (est.)",3.3,"Williams Sonoma
3.3","San Francisco, CA",10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable
42,Data Scientist,"$121,000 /yr (est.)",3.2,"Everlane
3.2","San Francisco, CA",51 to 200 Employees,2010,Company - Private,Other Retail Stores,Retail & Wholesale,$5 to $25 million (USD)
43,Marketing Data Scientist,"$109,735 /yr (est.)",4.2,"HP
4.2","Palo Alto, CA",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
44,Data Scientist / Machine Learning Engineer,-1,-1,Bright Apps LLC,"San Francisco, CA",-1,-1,-1,-1,-1,-1
45,Senior Data Scientist,"$148,858 /yr (est.)",4.4,"Intuit - Data
4.4","Mountain View, CA",10000+ Employees,1983,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
46,Data Scientist,"$141,810 /yr (est.)",4.4,"PocketPills
4.4","San Francisco, CA",51 to 200 Employees,2018,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
47,Data Scientist,"$130,565 /yr (est.)",3.7,"Mercury
3.7","San Francisco, CA",501 to 1000 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
48,Data Scientist,"$119,357 /yr (est.)",4.2,"Autodesk
4.2","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD)
49,Data Scientist,"$103,923 /yr (est.)",4.0,"Veeco
4.0","San Jose, CA",1001 to 5000 Employees,1945,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD)
50,Associate Data Scientist Inventory Management-1,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
51,Staff Data Scientist,"$164,608 /yr (est.)",4.4,"Intuit - Data
4.4","Mountain View, CA",10000+ Employees,1983,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
52,Staff Data Scientist - Marketing,"$153,946 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
53,Data Scientist - Forecasting,"$128,194 /yr (est.)",3.8,"Amazon.com Services LLC
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
54,Data Scientist,"$124,220 /yr (est.)",4.1,"Blockchain.com
4.1","San Francisco, CA",51 to 200 Employees,2011,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
55,Data Scientist - TikTok Account,"$125,858 /yr (est.)",3.6,"TikTok
3.6","San Francisco, CA",1001 to 5000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
56,Associate Data Scientist Inventory Management-1,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
57,Data Scientist,"$119,061 /yr (est.)",4.0,"Visa
4.0","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
58,"Data Scientist, Creative Cloud Education","$149,820 /yr (est.)",4.4,"Adobe
4.4","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
59,Data Scientist - Forecasting,"$128,194 /yr (est.)",3.8,"Amazon.com Services LLC
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
60,"Data Scientist, Product Analytics","$135,534 /yr (est.)",4.7,"Atlassian
4.7","San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
61,Data Scientist,"$121,000 /yr (est.)",3.2,"Everlane
3.2","San Francisco, CA",51 to 200 Employees,2010,Company - Private,Other Retail Stores,Retail & Wholesale,$5 to $25 million (USD)
62,Data Scientist,"$112,440 /yr (est.)",3.3,"Fiserv, Inc.
3.3","San Jose, CA",10000+ Employees,1984,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
63,Staff Data Scientist - Marketing,"$153,946 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
64,Data Scientist,"$126,833 /yr (est.)",4.3,"Grid Dynamics
4.3","San Francisco, CA",1001 to 5000 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $100 million (USD)
65,Data Scientist - Machine Learning,"$123,886 /yr (est.)",4.3,"Denken Solutions Inc
4.3","San Francisco, CA",201 to 500 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
66,Senior Data Scientist,"$154,276 /yr (est.)",4.4,"Salesforce
4.4","San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
67,Data Scientist,"$133,158 /yr (est.)",3.0,"Quantapore
3.0","San Francisco, CA",1 to 50 Employees,2009,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 million (USD)
68,"Senior Data Scientist, Analytics & Data","$128,230 /yr (est.)",3.3,"Williams Sonoma
3.3","San Francisco, CA",10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable
69,Senior Data Scientist,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
70,Data Scientist [Remote],$100.00 /hr (est.),4.6,"Braintrust
4.6","San Francisco, CA",Unknown,2018,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
71,Data Scientist (Business Analytics)-Remote,"$115,155 /yr (est.)",3.9,"JLL
3.9","San Francisco, CA",10000+ Employees,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),-1
72,Data Scientist,"$114,068 /yr (est.)",3.0,"ELT Solutions
3.0","San Jose, CA",1 to 50 Employees,Self-employed,Unknown / Non-Applicable,-1,-1,-1
73,Data Scientist,"$122,887 /yr (est.)",5.0,"Gayathri's Sandbox
5.0","Menlo Park, CA",1 to 50 Employees,Contract,Less than $1 million (USD),-1,-1,-1
74,Data Scientist,"$119,357 /yr (est.)",4.2,"Autodesk
4.2","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD)
75,Data Scientist,"$124,220 /yr (est.)",4.1,"Blockchain.com
4.1","San Francisco, CA",51 to 200 Employees,2011,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
76,Data Scientist,"$140,169 /yr (est.)",4.0,"Sia Partners
4.0","San Francisco, CA",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
77,Data Scientist,"$80,500 /yr (est.)",-1,Dworo.io,"San Jose, CA",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
78,Product Data Scientist,"$118,635 /yr (est.)",4.3,"Celonis SE
4.3","San Francisco, CA",1001 to 5000 Employees,2011,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
79,Data Scientist - Marketing,"$132,660 /yr (est.)",4.4,"Nextdoor
4.4","San Francisco, CA",201 to 500 Employees,2010,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
80,Data Scientist,"$116,666 /yr (est.)",4.3,"Iterative Scopes
4.3","San Francisco, CA",1 to 50 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
81,"Data Scientist, Product","$131,692 /yr (est.)",4.9,"Notion
4.9","San Francisco, CA",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
82,Data Scientist,"$133,340 /yr (est.)",3.6,"Taskrabbit
3.6","San Francisco, CA",51 to 200 Employees,2008,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD)
83,Senior Data Scientist,"$148,858 /yr (est.)",4.4,"Intuit - Data
4.4","Mountain View, CA",10000+ Employees,1983,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
84,Data Scientist,"$122,077 /yr (est.)",3.3,"Walmart
3.3","Sunnyvale, CA",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
85,Associate Data Scientist Inventory Management-1,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
86,Data Scientist,"$119,061 /yr (est.)",4.0,"Visa
4.0","Foster City, CA",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
87,Data Scientist,"$112,440 /yr (est.)",3.3,"Fiserv, Inc.
3.3","San Jose, CA",10000+ Employees,1984,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD)
88,Data Scientist (Business Analytics)-Remote,"$115,155 /yr (est.)",3.9,"JLL
3.9","San Francisco, CA",10000+ Employees,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),-1
89,Staff Data Scientist - Marketing,"$153,946 /yr (est.)",4.0,"Uber
4.0","San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
90,Data Scientist - Forecasting,"$128,194 /yr (est.)",3.8,"Amazon.com Services LLC
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
91,"Data Scientist, Product Analytics","$135,534 /yr (est.)",4.7,"Atlassian
4.7","San Francisco, CA",5001 to 10000 Employees,2002,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
92,Data Scientist - Marketing,"$132,660 /yr (est.)",4.4,"Nextdoor
4.4","San Francisco, CA",201 to 500 Employees,2010,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
93,Data Scientist,"$121,000 /yr (est.)",3.2,"Everlane
3.2","San Francisco, CA",51 to 200 Employees,2010,Company - Private,Other Retail Stores,Retail & Wholesale,$5 to $25 million (USD)
94,Senior Data Scientist,"$154,276 /yr (est.)",4.4,"Salesforce
4.4","San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
95,Data Scientist,"$114,068 /yr (est.)",3.0,"ELT Solutions
3.0","San Jose, CA",1 to 50 Employees,Self-employed,Unknown / Non-Applicable,-1,-1,-1
96,Data Scientist,"$122,887 /yr (est.)",5.0,"Gayathri's Sandbox
5.0","Menlo Park, CA",1 to 50 Employees,Contract,Less than $1 million (USD),-1,-1,-1
97,"Senior Data Scientist, Analytics & Data","$128,230 /yr (est.)",3.3,"Williams Sonoma
3.3","San Francisco, CA",10000+ Employees,1956,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,Unknown / Non-Applicable
98,Senior Data Scientist,-1,3.7,"Gap Inc.
3.7","San Francisco, CA",10000+ Employees,1969,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
99,Business/Data Analyst - REMOTE,$28.85 /hr (est.),4.1,"Splunk
4.1","San Francisco, CA",5001 to 10000 Employees,2003,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
